t_paso1;t_paso2;t_paso3;t_paso5
0,016098;0,065402;0,012902;0,274655
0,022850;0,198760;0,021782;2,731475
0,017626;0,167912;0,012506;14,012565
0,040484;0,379236;0,017866;135,113130
0,083510;0,819488;0,023618;576,551585
0,210452;1,935708;0,032240;2360,984470
0,612528;2,214798;0,034358;11097,639515
1,417628;2,579606;0,032604;31520,073575
2,433440;4,402084;0,023990;81671,539395
12,398964;8,539938;0,068862;247183,291070
21,953470;7,847586;0,074624
61,223070;10,101128;0,074540
358,014630;14,651016;0,104106
1205,051934;18,644632;0,133582
3441,555165;24,592560;0,190860
14424,122665;34,620645;0,252475
41162,033345;40,892895;0,286650
109671,148575;49,822370;0,349155
487936,205225;65,014965;0,424385
